epoch,train_loss,val_loss
361,-11185.268295023483,
362,-11138.726443957732,
363,-11302.054772173049,
364,-11075.07994264812,
365,-11083.366391573338,-11769.735046386719
366,-11219.856050171604,
367,-11146.1689453125,
368,-11262.216904127528,
369,-11233.902868722904,
370,-11168.551532017702,-11641.67138671875
371,-11210.755972272398,
372,-11247.367294752528,
373,-11178.708899701951,
374,-11246.685789604408,
375,-11390.358979859104,-11706.538696289062
376,-11121.908863574783,
377,-11193.662566609466,
378,-11249.016934609826,
379,-11222.759376128974,
380,-11275.937471775651,-11679.840148925781
381,-11241.807380102962,
382,-11222.873086389089,
383,-11172.680630193281,
384,-11214.339008309249,
385,-11335.761859871749,-11516.781982421875
386,-11109.320972949783,
387,-11157.55268921604,
388,-11298.593902411489,
389,-11211.471109555636,
390,-11260.313120935694,-11686.709655761719
391,-11288.291800261923,
392,-11258.136684880781,
393,-11322.385347046604,
394,-11345.336812454841,
395,-11106.584193235189,-11771.797546386719
396,-11277.494530121026,
397,-11219.507315751445,
398,-11271.636899385838,
399,-11241.977804371387,
400,-11311.923015263728,-11805.365539550781
401,-11268.124700821892,
402,-11429.384861587789,
403,-11167.74036985188,
404,-11309.776101878613,
405,-11397.644011921966,-11859.330139160156
406,-11315.861621658238,
407,-11361.588426887645,
408,-11465.793646134392,
409,-11286.028551752168,
410,-11407.063081421604,-12133.485778808594
411,-11482.846346640174,
412,-11198.781436280708,
413,-11322.071943867413,
414,-11310.688199963874,
415,-11378.860808796966,-11979.850646972656
416,-11474.287775469653,
417,-11210.81440796604,
418,-11307.228673681358,
419,-11520.828362084538,
420,-11303.664954389451,-11826.053405761719
421,-11309.564334582732,
422,-11369.118581782875,
423,-11418.193139225072,
424,-11498.747612220015,
425,-11333.811562951589,-11616.844421386719
426,-11223.033722453034,
427,-11432.295791184972,
428,-11521.768007135115,
429,-11289.810456557081,
430,-11352.974750496749,-11855.158874511719
431,-11509.292438132225,
432,-11521.510437364523,
433,-11199.183413114162,
434,-11319.01647173049,
435,-11445.60353820448,-12156.178405761719
436,-11450.04491058526,
437,-11458.537922236272,
438,-11380.168713872832,
439,-11363.123193641619,
440,-11462.380690028902,-12025.271789550781
441,-11430.282187048411,
442,-11468.437217756504,
443,-11522.329762012283,
444,-11272.70222182081,
445,-11425.141364477962,-11676.49658203125
446,-11385.244795429913,
447,-11385.220584582732,
448,-11620.956161940028,
449,-11362.130221504696,
450,-11407.091520276374,-12052.882019042969
451,-11441.520123961343,
452,-11617.615748058164,
453,-11489.03029037211,
454,-11402.361215227602,
455,-11435.773968117775,-12027.979858398438
456,-11572.885572841402,
457,-11562.071396315028,
458,-11427.248662165824,
459,-11601.35837585802,
460,-11462.54590408237,-11957.413513183594
461,-11456.472503838511,
462,-11663.915676932804,
463,-11344.80871793714,
464,-11485.068031972543,
465,-11608.592485549132,-11729.245849609375
466,-11347.704790236632,
467,-11543.942196531792,
468,-11469.335107704119,
469,-11426.97936800036,
470,-11595.188566880419,-11921.638793945312
471,-11410.58106597724,
472,-11432.769390128251,
473,-11587.230005870664,
474,-11376.689661985189,
475,-11580.370743768064,-12051.201477050781
476,-11462.004273166547,
477,-11333.409879651374,
478,-11459.48430161669,
479,-11497.455315209538,
480,-11605.503420791185,-12279.051452636719
481,-11547.874187138728,
482,-11578.375440299855,
483,-11577.762215498555,
484,-11465.993824512283,
485,-11519.252099891619,-11956.312561035156
486,-11525.797738665102,
487,-11435.90334289198,
488,-11650.042545384755,
489,-11515.381271450506,
490,-11527.014416997832,-12029.393371582031
491,-11620.743000361272,
492,-11482.10261244581,
493,-11585.417618768064,
494,-11661.306426119942,
495,-11522.563871703396,-11895.463623046875
496,-11508.883631006142,
497,-11575.963697841402,
498,-11607.061726652817,
499,-11484.508168126806,
500,-11573.834362581287,-11952.984069824219
501,-11468.259212427745,
502,-11540.912402908238,
503,-11656.840261470375,
504,-11413.403608200868,
505,-11534.836389089596,-11986.407287597656
506,-11512.880769057081,
507,-11530.053823834898,
508,-11656.06060896857,
509,-11386.694194815751,
510,-11570.134613213511,-12329.737670898438
511,-11637.885922823338,
512,-11385.687900785766,
513,-11571.0634765625,
514,-11654.580196667268,
515,-11444.923438628974,-11843.004211425781
516,-11588.503669165462,
517,-11573.286386831647,
518,-11516.53795046062,
519,-11651.126682171243,
520,-11683.012503386923,-11849.990478515625
521,-11378.91906949964,
522,-11676.032971685332,
523,-11526.132897173049,
524,-11712.879719111272,
525,-11614.337439035404,-12150.601623535156
526,-11556.956782875723,
527,-11649.547456421604,
528,-11791.431138231575,
529,-11598.054964098626,
530,-11507.285861858743,-12229.062316894531
531,-11746.738676390896,
532,-11679.747166275289,
533,-11451.879848943281,
534,-11652.382524611632,
535,-11680.446763231575,-11494.359313964844
536,-11546.803519011923,
537,-11673.511035720738,
538,-11651.626241871387,
539,-11650.217869400289,
540,-11650.488794933164,-11789.210266113281
541,-11470.306081782875,
542,-11692.816084492413,
543,-11646.639067015896,
544,-11497.38178513367,
545,-11725.657108020232,-11999.274475097656
546,-11593.760217214596,
547,-11633.926001399928,
548,-11656.959328712066,
549,-11633.60453734646,
550,-11745.099931132587,-12200.25634765625
551,-11686.966356575145,
552,-11555.868429371387,
553,-11707.538695583453,
554,-11595.827972588511,
555,-11711.486672462066,-12022.195861816406
556,-11581.031464505058,
557,-11697.395965046966,
558,-11611.864528766257,
559,-11539.831794165462,
560,-11598.559835621387,-12215.531433105469
561,-11783.841063041908,
562,-11422.036815841762,
563,-11633.333346504696,
564,-11803.129781204841,
565,-11562.43070922146,-12129.705688476562
566,-11688.979689757947,
567,-11747.281695944725,
568,-11623.15234375,
569,-11733.455845827311,
570,-11688.826933932442,-12363.231140136719
571,-11751.699049403902,
572,-11709.822762373555,
573,-11731.045379109466,
574,-11723.427452131504,
575,-11573.627331331287,-12369.06005859375
576,-11746.606896902096,
577,-11591.260962337428,
578,-11707.782311235549,
579,-11650.458278766257,
580,-11781.09565796604,-12028.876708984375
581,-11863.174240200506,
582,-11556.464945357659,
583,-11737.614365065028,
584,-11742.347503838511,
585,-11715.309903359826,-12246.773132324219
586,-11822.069426255419,
587,-11664.20899001987,
588,-11822.995692964234,
589,-11641.797275785766,
590,-11673.735210440751,-12081.190124511719
591,-11875.215030030708,
592,-11605.492610865245,
593,-11677.725935919436,
594,-11861.471278901734,
595,-11646.584689983743,-12227.242980957031
596,-11835.88185851698,
597,-11757.877303106936,
598,-11664.768249864523,
599,-11834.91105942919,
600,-11789.393961118136,-11874.590881347656
601,-11544.42768357117,
602,-11807.977510838151,
603,-11914.904821847904,
604,-11629.663537527096,
605,-11747.128798997472,-12097.697814941406
606,-11943.324913069004,
607,-11707.95129606214,
608,-11728.609736271676,
609,-11826.79875474169,
610,-11706.523347182081,-12290.024963378906
611,-11765.816366735911,
612,-11913.45503296604,
613,-11672.256231936417,
614,-11656.429879425577,
615,-11745.300589324423,-12376.819213867188
616,-11892.352025379336,
617,-11707.694510928468,
618,-11787.206811100072,
619,-11936.983426661849,
620,-11620.146168262283,-12210.485290527344
621,-11817.724298907153,
622,-11829.866656882225,
623,-11661.570476201228,
624,-11905.494580924855,
625,-11820.883478594653,-12043.07470703125
626,-11746.183960666547,
627,-11924.84962630961,
628,-11735.837218885477,
629,-11805.638276734104,
630,-11967.221329705564,-11953.546875
631,-11633.9629470737,
632,-11813.002472453034,
633,-11933.422292720375,
634,-11709.368339053468,
635,-11791.491312545159,-12216.093139648438
636,-11881.464555861632,
637,-11979.749537120664,
638,-11795.636255870664,
639,-11730.416117232659,
640,-11996.788300442558,-12341.862548828125
641,-11865.234657243496,
642,-11711.853250316113,
643,-11985.400588195447,
644,-11673.113546558887,
645,-11923.651880870664,-11993.124633789062
646,-12015.241854452674,
647,-11681.772748825868,
648,-11851.293617910043,
649,-11896.694104497832,
650,-11822.760855084898,-12202.304931640625
651,-11988.107167855853,
652,-11771.844122561417,
653,-11634.483731484826,
654,-11832.086259257587,
655,-12008.189362807081,-12149.296630859375
656,-11724.051898934249,
657,-11820.203401598626,
658,-11969.354661533598,
659,-11721.837789017341,
660,-11830.272556900289,-12346.870727539062
661,-12018.242497967847,
662,-11852.18451950867,
663,-11730.888519463511,
664,-11855.616905256504,
665,-11855.948654263006,-12064.230346679688
666,-11861.071622109826,
667,-11893.354339776011,
668,-11868.558446983381,
669,-11936.635183345375,
670,-11701.503234510477,-12089.122924804688
671,-11737.109826589596,
672,-12010.862592575868,
673,-11821.81744490607,
674,-11786.912967395232,
675,-11912.26752732117,-12305.3564453125
676,-11877.246697751083,
677,-11935.295994400289,
678,-12021.330732929913,
679,-11699.653613845738,
680,-11909.696537436777,-12370.417602539062
681,-11967.936839550217,
682,-11763.921293578396,
683,-11956.6455078125,
684,-11894.625643515174,
685,-11875.300950596098,-12359.186889648438
686,-11904.187144373194,
687,-12091.913616555275,
688,-11825.953920926662,
