epoch,train_loss,val_loss
341,-9376.149210847183,
342,-9396.328029037211,
343,-9387.839945357659,
344,-9464.891229001083,
345,-9484.319036759392,-9489.366271972656
346,-9446.594207234466,
347,-9500.952329073338,
348,-9437.479644598989,
349,-9452.112395005419,
350,-9469.959244039017,-9584.215393066406
351,-9528.8173828125,
352,-9443.981213872832,
353,-9513.732681539017,
354,-9548.29193009393,
355,-9474.793239703757,-9675.193115234375
356,-9540.019892521676,
357,-9490.303084356936,
358,-9533.38862107117,
359,-9544.318240832732,
360,-9496.589572796243,-9447.017822265625
361,-9412.624062951589,
362,-9354.701691203034,
363,-9413.542212337428,
364,-9506.794701725072,
365,-9476.680522940751,-9535.152587890625
366,-9481.461942286849,
367,-9528.804111723266,
368,-9561.175329660404,
369,-9537.329750722543,
370,-9493.25188538656,-9514.64892578125
371,-9500.105717124277,
372,-9570.29407514451,
373,-9544.558300216762,
374,-9530.95989884393,
375,-9417.324777592125,-9667.081481933594
376,-9565.911894869942,
377,-9513.964538927023,
378,-9559.98246703396,
379,-9499.572480130058,
380,-9594.350986723266,-9772.119201660156
381,-9542.553490787572,
382,-9482.21092056539,
383,-9440.592389586343,
384,-9601.210796378251,
385,-9542.549223265896,-9761.773620605469
386,-9559.322892205564,
387,-9508.30559632406,
388,-9579.507349620664,
389,-9622.986723265896,
390,-9547.328158869219,-9718.966064453125
391,-9552.429715724349,
392,-9605.402970330564,
393,-9579.959656114523,
394,-9572.114726336706,
395,-9571.63575347724,-9718.747009277344
396,-9543.44636244581,
397,-9655.719562861272,
398,-9519.695527005058,
399,-9595.700370303468,
400,-9499.10746703396,-9744.953186035156
401,-9557.097910269147,
402,-9495.454304777817,
403,-9605.637926752168,
404,-9551.877466808164,
405,-9528.798461208453,-9688.285461425781
406,-9549.721425668353,
407,-9626.99915891438,
408,-9547.494897037572,
409,-9577.566965092125,
410,-9575.40617661669,-9684.999938964844
411,-9538.50487716763,
412,-9565.523640715317,
413,-9607.083984375,
414,-9621.535647353685,
415,-9555.327255690028,-9733.258422851562
416,-9644.630413430275,
417,-9630.889416997832,
418,-9668.648211705202,
419,-9684.543228414017,
420,-9663.120845375723,-9794.119506835938
421,-9600.777371974349,
422,-9499.815734510477,
423,-9533.179128657875,
424,-9638.855728414017,
425,-9628.025198699423,-9733.675048828125
426,-9589.719145140896,
427,-9649.387983200868,
428,-9642.043640489523,
429,-9572.372177565028,
430,-9629.709548861994,-9734.632263183594
431,-9659.198609104047,
432,-9663.433068777096,
433,-9640.24221007948,
434,-9630.611695041547,
435,-9660.750197570447,-9783.659118652344
436,-9677.22174742594,
437,-9616.886408282153,
438,-9574.630712608381,
439,-9524.922253206287,
440,-9532.295384754336,-9747.611877441406
441,-9710.029065435332,
442,-9659.291218840317,
443,-9663.2548828125,
444,-9530.826561371026,
445,-9712.719105626806,-9751.304382324219
446,-9604.146693235189,
447,-9626.039175397398,
448,-9664.683977601157,
449,-9682.954338647038,
450,-9668.146715814668,-9841.971008300781
451,-9724.925499006504,
452,-9643.527140534683,
453,-9696.765534682081,
454,-9683.688578170159,
455,-9680.10924516799,-9734.524658203125
456,-9604.19822525289,
457,-9701.164937454841,
458,-9741.457544933164,
459,-9644.462805951951,
460,-9665.586575370304,-9742.070251464844
461,-9694.48347182081,
462,-9678.581444183526,
463,-9651.06535065932,
464,-9681.77541320448,
465,-9667.294063854768,-9760.757080078125
466,-9644.850698834898,
467,-9554.379148979408,
468,-9608.909975614162,
469,-9744.857805726157,
470,-9645.927576318642,-9798.314880371094
471,-9686.560738800577,
472,-9689.491848807804,
473,-9729.28620055094,
474,-9740.000338692196,
475,-9672.437223401374,-9776.042785644531
476,-9577.169199331647,
477,-9731.390359691113,
478,-9631.542731665462,
479,-9722.633422145953,
480,-9610.97461501987,-9629.829895019531
481,-9723.849101336706,
482,-9651.610611226517,
483,-9661.108686325868,
484,-9658.870647805275,
485,-9669.313324151011,-9632.694458007812
486,-9634.332742503613,
487,-9705.968349214234,
488,-9670.050278856575,
489,-9685.919650921243,
490,-9718.453881412572,-9768.247253417969
491,-9735.499491961706,
492,-9656.476195583453,
493,-9655.94630599711,
494,-9744.964375225794,
495,-9667.126078170159,-9729.131164550781
496,-9754.590724349711,
497,-9747.268825641257,
498,-9689.490059384032,
499,-9662.479232523483,
500,-9800.43944748013,-9790.871643066406
501,-9721.18938538656,
502,-9696.865770637645,
503,-9672.120015579841,
504,-9789.91217711344,
505,-9720.38183029263,-9849.701171875
506,-9704.319087563223,
507,-9684.768097453034,
508,-9751.80970014451,
509,-9779.74328824964,
510,-9768.231089685694,-9870.591735839844
511,-9743.111768424855,
512,-9705.503319183526,
513,-9697.1317794888,
514,-9689.53712066474,
515,-9745.756056945447,-9779.597534179688
516,-9762.924059564668,
517,-9737.582341717847,
518,-9692.86328125,
519,-9727.087168081647,
520,-9804.248639586343,-9839.017456054688
521,-9782.392685377528,
522,-9751.159953034683,
523,-9721.317902140534,
524,-9816.931256773843,
525,-9731.54290101156,-9873.626892089844
526,-9721.085293984826,
527,-9761.67872787211,
528,-9843.075742864885,
529,-9760.857941203034,
530,-9711.158400695447,-9747.752746582031
531,-9685.506231936417,
532,-9794.840628386923,
533,-9780.204197525289,
534,-9750.484583860189,
535,-9751.501162843208,-9913.418701171875
536,-9778.909591763006,
537,-9716.794029985549,
538,-9808.208312635477,
539,-9809.826392024928,
540,-9814.528201770232,-9843.151550292969
541,-9808.748560558164,
542,-9821.286612626445,
543,-9791.145186054913,
544,-9665.32131164198,
545,-9768.681110007225,-9855.093627929688
546,-9832.035636063945,
547,-9778.889326679913,
548,-9724.838697841402,
549,-9765.52341492052,
