epoch,loss
361,-9287.202370945412
362,-9319.983880537975
363,-9266.795935522152
364,-9137.244054094146
365,-9193.256601068038
366,-9324.063760878165
367,-9389.588904272152
368,-9407.640464299842
369,-9412.148907238925
370,-9273.900464794304
371,-9240.211419600475
372,-9362.916151602058
373,-9402.091586728639
374,-9413.433334157437
375,-9410.561931368671
376,-9401.252979133702
377,-9338.85703866693
378,-9347.29944620253
379,-9235.265414853639
380,-9165.127497033227
381,-9337.196165446994
382,-9379.927276997627
383,-9424.986291040348
384,-9291.856667820412
385,-9274.623368275317
386,-9332.77812252769
387,-9419.979788864715
388,-9387.394494165348
389,-9272.028270866298
390,-9222.203199169304
391,-9376.70469491693
392,-9432.86268789557
393,-9324.891304885285
394,-9365.720789655854
395,-9314.640723892406
396,-9297.369375494462
397,-9400.873899821994
398,-9321.041497725475
399,-9355.455325356013
400,-9464.354937203323
401,-9501.432728441456
402,-9510.96741495253
403,-9524.5771484375
404,-9517.829756724683
405,-9304.797901008702
406,-9317.598311412183
407,-9279.821857693829
408,-9389.57420638845
409,-9501.211024030854
410,-9508.518628856804
411,-9509.53123763845
412,-9426.187425830696
413,-9469.236896756329
414,-9519.193507713608
415,-9564.741866099683
416,-9492.442098496835
417,-9501.254821004746
418,-9533.430997824367
419,-9539.558136372627
420,-9560.006143690665
421,-9519.44355715981
422,-9316.54944620253
423,-9362.344874901108
424,-9368.912801621835
425,-9463.018628856804
426,-9452.213953718354
427,-9481.094269185127
428,-9505.992434731013
429,-9387.945399030854
430,-9490.48846667326
431,-9579.047542523735
432,-9591.512991989715
433,-9582.327234968354
434,-9543.038975969146
435,-9594.174161886867
436,-9609.012769481804
437,-9595.752212717563
438,-9516.286528382121
439,-9378.415941455696
440,-9277.72752670095
441,-9410.01990209652
442,-9558.037764537183
443,-9574.056764240506
444,-9462.231136273735
445,-9566.332550435127
446,-9605.496167919304
447,-9598.447821894779
448,-9546.05097903481
449,-9496.445151799842
450,-9612.43144284019
451,-9645.023190268987
452,-9447.523870154273
453,-9568.91796875
454,-9490.983077037183
455,-9591.410737242879
456,-9659.048482001583
